Date,Low,Open,Volume,High,Close,Adjusted Close
4/1/2021,27.02000046,27.27000046,64903,27.30360031,27.06999969,25.7216568
5/1/2021,27.04999924,27.04999924,42777,27.30069923,27.28000069,25.92119789
6/1/2021,26.5,27.22999954,39599,27.22999954,26.80999947,25.47460747
7/1/2021,26.27000046,26.68000031,161271,26.95000076,26.80999947,25.47460747
8/1/2021,26.57999992,26.96999931,70481,26.97999954,26.87999916,25.54112053
11/1/2021,26.59000015,26.59000015,71227,26.82889938,26.70999908,25.37958908
12/1/2021,26.29000092,26.70999908,173715,26.70999908,26.59000015,25.26556587
1/2/2021,26.37000084,26.45000076,68334,26.55999947,26.39999962,25.40479851
2/2/2021,26.32999992,26.48999977,75147,26.57309914,26.48999977,25.49140549
3/2/2021,26.37000084,26.5,104793,26.56990051,26.46999931,25.47216034
4/2/2021,26.29000092,26.45999908,66598,26.55999947,26.47999954,25.48178291
5/2/2021,26.43000031,26.52000046,107985,26.75,26.47500038,25.47697258
8/2/2021,26.45000076,26.54999924,51824,26.63909912,26.46999931,25.47216034
9/2/2021,26.30999947,26.47999954,200678,26.68000031,26.32999992,25.33743858
10/2/2021,26.30999947,27.31999969,100209,28.52000046,26.37999916,25.38555336
11/2/2021,26.37000084,26.52000046,65951,26.54000092,26.47999954,25.48178291
12/2/2021,26.26000023,26.45999908,54575,26.45999908,26.38999939,25.39517593
1/3/2021,26.31999969,26.51000023,146243,26.62269974,26.57999992,25.57801247
2/3/2021,26.4321003,26.61000061,65739,26.62000084,26.54000092,25.53952408
3/3/2021,26.42620087,26.54000092,69162,26.65999985,26.45999908,25.46253777
4/3/2021,26.30999947,26.45999908,97995,26.65999985,26.42000008,25.42404366
5/3/2021,26.41010094,26.52000046,44417,26.57259941,26.46999931,25.47216034
8/3/2021,26.52000046,26.60000038,38206,26.68000031,26.65999985,25.65499687
9/3/2021,26.59880066,26.75,43577,26.87000084,26.60000038,25.59725952
10/3/2021,26.51000023,26.81999969,114931,26.81999969,26.59000015,25.58763695
11/3/2021,26.54999924,26.62000084,198369,26.76000023,26.72999954,25.7223587
12/3/2021,26.49169922,26.67000008,83243,26.75,26.75,25.74160385
1/4/2021,27.10000038,27.12000084,40503,27.29500008,27.29000092,26.26124954
5/4/2021,27.25,27.32999992,54598,27.39999962,27.39999962,26.36710167
6/4/2021,27.32500076,27.39999962,63359,27.45000076,27.43000031,26.3959713
7/4/2021,27.32999992,27.42000008,55944,27.43000031,27.37999916,26.34785461
8/4/2021,27.27709961,27.39999962,57246,27.39999962,27.38999939,26.3574791
9/4/2021,27.34000015,27.36000061,78696,27.44000053,27.39999962,26.36710167
12/4/2021,27.31999969,27.42000008,29617,27.42000008,27.31999969,26.29011917
3/5/2021,27.06999969,27.06999969,70268,27.35000038,27.30999947,26.28049469
4/5/2021,27.25,27.29000092,68845,27.31999969,27.31999969,26.29011917
5/5/2021,27.26000023,27.31999969,30891,27.37999916,27.31999969,26.29011917
6/5/2021,27.12999916,27.29999924,68138,27.31999969,27.27000046,26.24200249
7/5/2021,27.27000046,27.27000046,68842,27.43000031,27.43000031,26.3959713
10/5/2021,27.27000046,27.45000076,56595,27.46990013,27.32999992,26.29974174
11/5/2021,27.04999924,27.22999954,56837,27.27000046,27.12000084,26.09765625
12/5/2021,26.75,27.05999947,108007,27.07999992,26.87000084,25.85708237
1/6/2021,27.20000076,27.32999992,41433,27.37000084,27.3234005,26.29338837
2/6/2021,27.27000046,27.27000046,48402,27.45000076,27.42000008,26.38634872
3/6/2021,27.28000069,27.29000092,114436,27.43000031,27.37000084,26.33823395
4/6/2021,27.30999947,27.40999985,51410,27.43300056,27.38999939,26.3574791
7/6/2021,27.31999969,27.34000015,40403,27.40999985,27.32999992,26.29974174
8/6/2021,27.27289963,27.32999992,45471,27.36750031,27.30999947,26.28049469
9/6/2021,27.34000015,27.38999939,46173,27.45999908,27.35000038,26.31898689
10/6/2021,27.29999924,27.42000008,47050,27.42000008,27.32999992,26.29974174
11/6/2021,27.2567997,27.34000015,54478,27.42000008,27.38999939,26.3574791
1/7/2021,27.29000092,27.45999908,54074,27.47999954,27.43000031,26.3959713
2/7/2021,27.37999916,27.37999916,68792,27.47500038,27.44000053,26.40559578
6/7/2021,27.42000008,27.47999954,54872,27.53000069,27.52000046,26.48258018
7/7/2021,27.47999954,27.47999954,69538,27.69000053,27.62999916,26.5884304
8/7/2021,27.39999962,27.53000069,86626,27.62000084,27.45999908,26.42483902
9/7/2021,27.25,27.40999985,93519,27.47999954,27.28000069,26.25162506
12/7/2021,27.27000046,27.29999924,68369,27.44000053,27.37999916,26.34785461
2/8/2021,26.87999916,27,59554,27.01000023,26.96999931,26.28476524
3/8/2021,26.87999916,26.89999962,52884,26.98999977,26.98999977,26.30425644
4/8/2021,26.91040039,26.94000053,72452,27.12000084,27.10000038,26.41146278
5/8/2021,27.05999947,27.05999947,64702,27.2730999,27.17000008,26.47968292
6/8/2021,27.12999916,27.12999916,45835,27.23390007,27.22999954,26.53815842
9/8/2021,27.06999969,27.13999939,44583,27.21360016,27.12999916,26.44069862
10/8/2021,26.78000069,27.12000084,42739,27.12999916,26.92219925,26.23817825
11/8/2021,26.98999977,26.98999977,25818,27.13999939,27.07999992,26.39196968
12/8/2021,27.04999924,27.04999924,40926,27.20000076,27.13999939,26.45044518
1/9/2021,27.18000031,27.18000031,45801,27.31999969,27.26000023,26.56739616
2/9/2021,27.25,27.26000023,45830,27.35000038,27.31999969,26.62587357
3/9/2021,27.21999931,27.29999924,29957,27.31999969,27.31999969,26.62587357
7/9/2021,27.12999916,27.28000069,46073,27.28000069,27.12999916,26.44069862
8/9/2021,27.09009933,27.12999916,46290,27.25499916,27.20999908,26.51866531
9/9/2021,27.13999939,27.13999939,35899,27.25,27.21999931,26.52841187
10/9/2021,26.95999908,27.18000031,114524,27.25,27.01000023,26.32374954
1/10/2021,26.95999908,27.13999939,54044,27.13999939,26.95999908,26.27501869
4/10/2021,26.60000038,26.95999908,146311,26.95999908,26.63999939,25.96315002
5/10/2021,26.45999908,26.65999985,102552,26.70929909,26.45999908,25.78772163
6/10/2021,26.28000069,26.45000076,72067,26.62000084,26.52000046,25.84619713
7/10/2021,26.45000076,26.5,69012,26.56999969,26.5,25.82670593
8/10/2021,26.35000038,26.48999977,57393,26.52000046,26.51000023,25.83645248
11/10/2021,26.45499992,26.46999931,18114,26.54999924,26.45999908,25.78772163
12/10/2021,26.47999954,26.48999977,37839,26.69879913,26.67000008,25.99238777
1/11/2021,26.82999992,26.85000038,52370,27.09000015,27.01000023,26.66055679
2/11/2021,26.94000053,26.96999931,39959,27.07349968,26.9701004,26.62117386
3/11/2021,26.87000084,26.93000031,75980,27.04000092,26.92000008,26.57172203
4/11/2021,26.88999939,26.89999962,60629,27.04999924,27.04999924,26.70003891
5/11/2021,26.90999985,26.98999977,55127,27.09000015,26.95999908,26.61120224
8/11/2021,26.87000084,27,46735,27.01129913,26.98999977,26.64081573
9/11/2021,26.85000038,26.92000008,28662,26.93120003,26.90999985,26.56184959
10/11/2021,26.66010094,26.92000008,44084,26.93000031,26.69000053,26.34469795
11/11/2021,26.55999947,26.70000076,40278,26.77939987,26.59210014,26.24806404
12/11/2021,26.48010063,26.62000084,30649,26.69000053,26.52000046,26.17689705
1/12/2021,26.14999962,26.34000015,86413,26.4109993,26.20000076,25.8610363
2/12/2021,26.12999916,26.12999916,47633,26.29999924,26.21999931,25.88077736
3/12/2021,26.07999992,26.12999916,48324,26.27499962,26.17000008,25.83142471
6/12/2021,26.07999992,26.17000008,52340,26.28000069,26.23999977,25.90051842
7/12/2021,26.17000008,26.25,103071,26.37000084,26.19000053,25.85116577
8/12/2021,26.07999992,26.20999908,60613,26.24950027,26.15999985,25.82155418
9/12/2021,26.04999924,26.06999969,51824,26.17000008,26.12000084,25.78207207
10/12/2021,26.04999924,26.12999916,61544,26.16250038,26.10000038,25.76233101
3/1/2022,26.30999947,26.47999954,90331,26.57839966,26.39999962,26.05844879
4/1/2022,26.20000076,26.32999992,66737,26.32999992,26.25,25.91038895
5/1/2022,26.03000069,26.12999916,99305,26.35000038,26.18000031,25.84129524
6/1/2022,26.02000046,26.14999962,84069,26.44000053,26.37999916,26.03870583
7/1/2022,26.22999954,26.27000046,100301,26.64999962,26.57999992,26.23612022
10/1/2022,26.31999969,26.46999931,119455,26.55999947,26.46999931,26.1275425
11/1/2022,26.42000008,26.42000008,106411,26.54000092,26.48999977,26.14728355
12/1/2022,26.43000031,26.5,71569,26.57999992,26.52000046,26.17689705
1/2/2022,26.04999924,26.12000084,170188,26.21999931,26.14999962,26.14999962
2/2/2022,25.86000061,26.07999992,146321,26.21999931,25.90999985,25.90999985
3/2/2022,25.62000084,25.77000046,138397,25.98999977,25.97999954,25.97999954
4/2/2022,25.83009911,25.87999916,206018,26.04999924,25.90999985,25.90999985
7/2/2022,25.77249908,25.89999962,58300,25.93000031,25.81999969,25.81999969
8/2/2022,25.60000038,25.78000069,88155,25.80999947,25.75,25.75
9/2/2022,25.75099945,25.89999962,72341,25.95999908,25.92000008,25.92000008
10/2/2022,25.61000061,25.84000015,138951,25.97999954,25.89999962,25.89999962
11/2/2022,25.64999962,25.80999947,135710,26.04000092,25.73999977,25.73999977
1/3/2022,25.54000092,25.63999939,61894,25.80660057,25.55999947,25.55999947
2/3/2022,25.55999947,25.60000038,45379,25.65999985,25.65999985,25.65999985
3/3/2022,25.38999939,25.59000015,51798,25.69449997,25.39999962,25.39999962
4/3/2022,25.32999992,25.36000061,140844,25.44000053,25.38999939,25.38999939
7/3/2022,25.25,25.39999962,83699,25.40999985,25.29999924,25.29999924
8/3/2022,25.20000076,25.23999977,116884,25.3477993,25.25,25.25
9/3/2022,25.2609005,25.30999947,45310,25.55999947,25.47999954,25.47999954
10/3/2022,25.16010094,25.40999985,40172,25.44000053,25.35000038,25.35000038
11/3/2022,25.19000053,25.27000046,60040,25.35000038,25.20000076,25.20000076
1/4/2022,25.31019974,25.38999939,42623,25.60000038,25.47999954,25.47999954
4/4/2022,25.35000038,25.46999931,53439,25.54999924,25.44000053,25.44000053
5/4/2022,25.29999924,25.45999908,177818,25.51000023,25.31999969,25.31999969
6/4/2022,25.06999969,25.06999969,71726,25.30999947,25.26000023,25.26000023
7/4/2022,25.20000076,25.20000076,62009,25.54000092,25.45000076,25.45000076
8/4/2022,25.29000092,25.29000092,61619,25.42499924,25.29999924,25.29999924
11/4/2022,25.14999962,25.26000023,136595,25.27000046,25.21999931,25.21999931
12/4/2022,25.38999939,25.40999985,668506,25.81999969,25.71999931,25.71999931
2/5/2022,25.10000038,25.30999947,95536,25.38990021,25.21999931,25.21999931
3/5/2022,25.05999947,25.22999954,59877,25.35989952,25.06999969,25.06999969
4/5/2022,24.98999977,25.04000092,98164,25.60000038,25.39999962,25.39999962
5/5/2022,25,25.29999924,64823,25.34000015,25.12000084,25.12000084
6/5/2022,24.79999924,25.10000038,79988,25.15010071,24.87000084,24.87000084
9/5/2022,24.30999947,24.68000031,102955,25.03490067,24.3845005,24.3845005
10/5/2022,24.31999969,24.73999977,124610,24.90999985,24.54000092,24.54000092
11/5/2022,24.39999962,24.39999962,74400,24.77000046,24.46999931,24.46999931
12/5/2022,24.38010025,24.42000008,57564,24.61000061,24.57999992,24.57999992
1/6/2022,24.14999962,24.25,777341,24.33909988,24.28000069,24.28000069
2/6/2022,24.25,24.25,73247,24.39949989,24.35000038,24.35000038
3/6/2022,24.21999931,24.23999977,82804,24.42000008,24.42000008,24.42000008
6/6/2022,24.29030037,24.42000008,219365,24.5,24.34000015,24.34000015
7/6/2022,24.29000092,24.29000092,45866,24.61000061,24.55999947,24.55999947
8/6/2022,24.36000061,24.54999924,41287,24.62000084,24.40999985,24.40999985
9/6/2022,24.20999908,24.42000008,79015,24.42000008,24.28000069,24.28000069
10/6/2022,24.02000046,24.18000031,212525,24.29999924,24.22999954,24.22999954
1/7/2022,24.35000038,24.57999992,35391,24.57999992,24.48999977,24.48999977
5/7/2022,24.30859947,24.42000008,32919,24.48999977,24.40999985,24.40999985
6/7/2022,24.30999947,24.42000008,33244,24.48999977,24.30999947,24.30999947
7/7/2022,24.29000092,24.34000015,43468,24.48999977,24.45999908,24.45999908
8/7/2022,24.31290054,24.39999962,39939,24.55999947,24.55999947,24.55999947
11/7/2022,24.39999962,24.40999985,70099,24.62999916,24.48500061,24.48500061
12/7/2022,24.43000031,24.45000076,56206,24.61090088,24.54999924,24.54999924
1/8/2022,25,25,98564,25.12999916,25.12999916,25.12999916
2/8/2022,25.02000046,25.04000092,55837,25.17000008,25.05999947,25.05999947
3/8/2022,24.95000076,25,47322,25.08429909,25.04000092,25.04000092
4/8/2022,24.89999962,25.10000038,66733,25.12000084,24.98999977,24.98999977
5/8/2022,24.74959946,24.85370064,82078,24.98999977,24.81999969,24.81999969
8/8/2022,24.75,24.84000015,42442,24.84000015,24.79999924,24.79999924
9/8/2022,24.54000092,24.70999908,46442,24.7928009,24.64999962,24.64999962
10/8/2022,24.70120049,24.75,142233,24.84000015,24.79999924,24.79999924
11/8/2022,24.70000076,24.79999924,61477,24.79999924,24.72999954,24.72999954
12/8/2022,24.70499992,24.76000023,64264,24.95000076,24.92000008,24.92000008
1/9/2022,24.25,24.45000076,70155,24.48999977,24.42000008,24.42000008
2/9/2022,24.37999916,24.42000008,43227,24.57189941,24.53000069,24.53000069
6/9/2022,24.375,24.54000092,78494,24.54000092,24.40999985,24.40999985
7/9/2022,24.37010002,24.38999939,145021,24.64999962,24.52000046,24.52000046
8/9/2022,24.44000053,24.44000053,66189,24.67250061,24.62000084,24.62000084
9/9/2022,24.625,24.64999962,146820,24.82449913,24.78000069,24.78000069
12/9/2022,24.78000069,24.78000069,64533,24.95000076,24.86000061,24.86000061
3/10/2022,24.69000053,24.76000023,54130,24.94000053,24.75,24.75
4/10/2022,24.70000076,24.88999939,164876,24.93000031,24.77000046,24.77000046
5/10/2022,24.66720009,24.70000076,89002,24.79999924,24.73999977,24.73999977
6/10/2022,24.68000031,24.70000076,547632,24.77000046,24.68000031,24.68000031
7/10/2022,24.55999947,24.68000031,88661,24.69000053,24.67000008,24.67000008
10/10/2022,24.55999947,24.62000084,46816,24.70210075,24.61000061,24.61000061
11/10/2022,24.5,24.61000061,78240,24.63999939,24.56999969,24.56999969
12/10/2022,24.45000076,24.5,94640,24.55999947,24.54999924,24.54999924
1/11/2022,24.5401001,24.57999992,74524,24.72500038,24.57999992,24.57999992
2/11/2022,24.55999947,24.64999962,79678,24.73999977,24.55999947,24.55999947
3/11/2022,24.40929985,24.53000069,104975,24.62000084,24.55999947,24.55999947
4/11/2022,24.53650093,24.55999947,99966,24.72999954,24.65999985,24.65999985
7/11/2022,24.50009918,24.64999962,167032,24.76000023,24.70999908,24.70999908
8/11/2022,24.68000031,24.68000031,165661,24.83650017,24.80999947,24.80999947
9/11/2022,24.77000046,24.78000069,181004,24.92009926,24.80500031,24.80500031
