Date,Low,Open,Volume,High,Close,Adjusted Close
4/1/2021,28.12999916,28.59000015,32274,28.59000015,28.20000076,26.53403854
5/1/2021,28.20000076,28.29000092,26080,28.39999962,28.35000038,26.67517853
6/1/2021,27.47999954,28.36000061,41515,28.36510086,27.89999962,26.25176048
7/1/2021,27.56500053,27.72999954,60538,28.17070007,27.96999931,26.31762505
8/1/2021,27.85000038,28.05999947,41158,28.16180038,28.09000015,26.43053818
11/1/2021,27.73999977,28.04999924,60205,28.04999924,27.76000023,26.12003326
12/1/2021,27.35499954,27.82999992,77326,27.86000061,27.86000061,26.21412659
1/2/2021,28.30999947,28.44000053,18205,28.59000015,28.44000053,26.7598629
2/2/2021,28.39999962,28.39999962,29307,28.62000084,28.53000069,26.84454536
3/2/2021,28.26000023,28.53000069,22583,28.57999992,28.28000069,26.60931396
4/2/2021,28.11919975,28.28000069,26224,28.43899918,28.32999992,26.65635681
5/2/2021,28.31500053,28.32999992,14429,28.54999924,28.46500015,26.78338242
8/2/2021,28.32139969,28.57999992,22291,28.57999992,28.42000008,26.741045
9/2/2021,28.33009911,28.5,17072,28.58399963,28.5,26.8163166
10/2/2021,28.25,28.5,23663,28.5,28.38999939,26.71281433
11/2/2021,28.18000031,28.52000046,32992,28.52000046,28.18000031,26.51522064
12/2/2021,28,28.14999962,43619,28.24449921,28.10000038,26.43994713
1/3/2021,28.07999992,28.07999992,192727,28.43000031,28.32999992,26.65635681
2/3/2021,28.20499992,28.29999924,45372,28.48999977,28.48999977,26.80690575
3/3/2021,28.20999908,28.35000038,32202,28.40950012,28.35000038,26.67517853
4/3/2021,28.18499947,28.27000046,33270,28.53000069,28.29000092,26.61872482
5/3/2021,28.12899971,28.34000015,52555,28.55999947,28.37999916,26.70340729
8/3/2021,28.27000046,28.37000084,29379,28.47380066,28.38999939,26.71281433
9/3/2021,28.32139969,28.38999939,30608,28.53000069,28.48500061,26.80220413
10/3/2021,28.40229988,28.5,36588,28.62999916,28.62000084,26.92922783
11/3/2021,28.42239952,28.65999985,29708,28.82999992,28.73999977,27.04213905
12/3/2021,28.42000008,28.64999962,35422,28.64999962,28.62000084,26.92922783
1/4/2021,28.17000008,28.25,91233,28.34000015,28.23999977,26.97698021
5/4/2021,28.09000015,28.23999977,82337,28.29999924,28.19000053,26.92921829
6/4/2021,28.12999916,28.20000076,79779,28.27000046,28.26000023,26.99608803
7/4/2021,28.18000031,28.26000023,38707,28.29999924,28.19000053,26.92921829
8/4/2021,28.02000046,28.26000023,72770,28.30789948,28.17000008,26.91011238
9/4/2021,28.09000015,28.18000031,449165,28.21999931,28.14999962,26.89100647
12/4/2021,28.05999947,28.12000084,42747,28.21879959,28.13999939,26.88145447
3/5/2021,27.96999931,28,38270,28.10000038,28.09000015,26.83369064
4/5/2021,27.96999931,27.96999931,54295,28.17000008,28.14999962,26.89100647
5/5/2021,28.07110023,28.06999969,30668,28.23999977,28.22999954,26.96742821
6/5/2021,28.06999969,28.10000038,35962,28.21999931,28.19000053,26.92921829
7/5/2021,28.11000061,28.11000061,44757,28.32099915,28.29999924,27.03429794
10/5/2021,28.12010002,28.20000076,29297,28.29999924,28.15999985,26.90056038
11/5/2021,27.90999985,28.04999924,53400,28.07999992,27.95999908,26.70950317
12/5/2021,27.76000023,27.95000076,104157,27.95999908,27.82999992,26.58531952
1/6/2021,28.30999947,28.5,98319,28.57390022,28.35000038,27.08206177
2/6/2021,28.31999969,28.43000031,62036,28.54000092,28.52000046,27.24445915
3/6/2021,28.43250084,28.5,21131,28.54999924,28.54000092,27.26356506
4/6/2021,28.4612999,28.59000015,24033,28.62999916,28.62789917,27.34753418
7/6/2021,28.44009972,28.63999939,35372,28.63999939,28.45999908,27.18714142
8/6/2021,28.51000023,28.56999969,35079,28.72999954,28.71999931,27.43551254
9/6/2021,28.73999977,28.73999977,38188,28.87999916,28.87999916,27.58835793
10/6/2021,28.73999977,28.87999916,51818,28.94000053,28.87999916,27.58835793
11/6/2021,28.75079918,28.89999962,13148,28.89999962,28.8932991,27.60106277
1/7/2021,28.25,28.30999947,34353,28.38999939,28.29000092,27.43564987
